delegate,voting_power,th_vp,ch_member_r2,ch_vp_r2,ch_member_r3,ch_vp_r3,ch_member_r4,ch_vp_r4,gc_member_s3,gc_vp_s3,gc_member_s4,gc_vp_s4,gc_member_s5,gc_vp_s5,gc_member_mm_s5,gc_vp_mm_s5,sc_member_s5,sc_vp_s5,coc_member_s5,coc_vp_s5,dab_member_s5,dab_vp_s5,gc_member_s6,gc_vp_s6,gc_member_mm_s6,gc_vp_mm_s6,sc_member_s6,sc_vp_s6,coc_member_s6,coc_vp_s6,dab_member_s6,dab_vp_s6,ch_member_r5,ch_vp_r5,ch_member_r6,ch_vp_r6
0x06cbda490e96c746234e225f3ed9b06c0e3e14f9,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x5912800ac0f8eb4ca011a8c63e7729698ef2634e,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xc759678ef908eab0e9d94599da7b8848c0af35c2,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x88bbff6b89b7007b90c5b41c966f27c4f86b9073,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x934b510d4c9103e6a87aef13b816fb080286d649,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x5407d3838c6457e085c122dc9a08b9c4f688f9d5,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xe61bb41d806a63f41402d91b67ba08638941987e,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x63d612aa37942803ba62e03c2f6fde6b061f6a6f,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x39a5d8f5863d684a150621762e1f6cb32eedeb48,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xa6bba3fd4493e614c97e1dfc39fd55759aea4f9a,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x2826a704404a44a951f892d17af4e409dc0e6218,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x97c72ad49eba8301dd1f4f2d3d386f4e26c97699,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x793d35c8e9f408cf2a65ab65c2bda358235292b0,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x1f2030737c3b5f5bf9eacc461b48f70c4b1b2980,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x1a86e501e0d0898b6f50e0df151bfd1e8454019d,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x7b502a23fb64a70cc10c5e06137f154123e90795,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x06a81b13358188de4c6fced42c4f58f81fca3c5c,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xdfc569566c3e8d5002e0bece1a75c16d6aae5c10,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xeef9f654fe5757690b6bca2c4ceec1b1e01650f4,555.92602583913,0.0015504093566177772,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
